date,account_value
2011-04-14,100000.0
2011-04-15,99998.0081671753
2011-04-18,99994.4881608429
2011-04-19,99995.44818281555
2011-04-20,100010.41932618714
2011-04-21,100018.31547328187
2011-04-25,100015.77957717895
2011-04-26,99996.87418647765
2011-04-27,100097.00189929198
2011-04-28,100084.32528881835
2011-04-29,100089.31015045165
2011-05-02,100126.97018463134
2011-05-03,100104.84895068359
2011-05-04,100118.33053913878
2011-05-05,100089.53056303404
2011-05-06,100094.72351345824
2011-05-09,100129.92347988891
2011-05-10,100167.40267256164
2011-05-11,100172.91876429749
2011-05-12,100194.88879603577
2011-05-13,100145.5425893097
2011-05-16,100014.68998963929
2011-05-17,100046.69752236939
2011-05-18,100078.61750527954
2011-05-19,100102.55759927368
2011-05-20,100100.45747109986
2011-05-23,100066.43757363892
2011-05-24,100021.99139941407
2011-05-25,100005.6379731598
2011-05-26,100049.47806105042
2011-05-27,100034.49314405823
2011-05-31,100078.01310255432
2011-06-01,100000.59625874329
2011-06-02,100023.09625874329
2011-06-03,99927.1565004425
2011-06-06,99879.81641255188
2011-06-07,99913.29642353821
2011-06-08,99922.60887353515
2011-06-09,99955.02061601257
2011-06-10,99888.68106419372
2011-06-13,99883.21441334533
2011-06-14,99960.09840533446
2011-06-15,99876.51817462157
2011-06-16,99825.07215434263
2011-06-17,99884.9121811981
2011-06-20,99915.77595158384
2011-06-21,100065.50582524107
2011-06-22,100002.9118149719
2011-06-23,100063.63178567502
2011-06-24,100024.99177102659
2011-06-27,100233.7916977844
2011-06-28,100260.19184426877
2011-06-29,100304.11152200315
2011-06-30,100311.65766244504
2011-07-01,100441.45317243955
2011-07-05,100541.1436000366
2011-07-06,100568.1436000366
2011-07-07,100636.99368243405
2011-07-08,100678.57350115964
2011-07-11,100517.91534078977
2011-07-12,100480.95513571164
2011-07-13,100544.51525534055
2011-07-14,100460.06188717649
2011-07-15,100527.29162350461
2011-07-18,100489.55885604856
2011-07-19,100678.7172906494
2011-07-20,100608.21938446043
2011-07-21,100540.14394065856
2011-07-22,100636.13386985777
2011-07-25,100548.26390525817
2011-07-26,100568.75003073119
2011-07-27,100827.07621023558
2011-07-28,100871.01335820006
2011-07-29,100825.24980061338
2011-08-01,100785.64990132139
2011-08-02,100458.34822853086
2011-08-03,100400.71685079954
2011-08-04,100129.14653923032
2011-08-05,100169.2050995178
2011-08-08,99872.2050995178
2011-08-09,100248.0750793762
2011-08-10,99886.39536135862
2011-08-11,100030.02108609007
2011-08-12,100163.98116909788
2011-08-15,100186.52865547179
2011-08-16,100002.07850593566
2011-08-17,99940.82850593566
2011-08-18,99471.47891181945
2011-08-19,99345.82850593566
2011-08-22,99295.60959791564
2011-08-23,99871.96994947814
2011-08-24,99878.44968580626
2011-08-25,99817.24979566954
2011-08-26,100070.4579579315
2011-08-29,100324.55776567076
2011-08-30,100478.20774430846
2011-08-31,100633.15673641967
2011-09-01,100533.41141609191
